DATE,TMAX_AV_ALL,TMIN_AV_ALL,ERCOT
1/1/18,36,25.55555556,1289189.713
1/2/18,33.77777778,25.77777778,1359822.304
1/3/18,52.66666667,22.44444444,1256371.307
1/4/18,55.55555556,27.33333333,1131588.839
1/5/18,62.44444444,38,998103.9444
1/6/18,66.55555556,37.88888889,911400.6463
1/7/18,70.11111111,51.88888889,834011.6513
1/8/18,68.66666667,43.22222222,875504.9644
1/9/18,66.66666667,39.11111111,942220.1567
1/10/18,71.22222222,46.44444444,907744.4517
1/11/18,70.88888889,43,930455.1563
1/12/18,56.66666667,32.66666667,1125571.847
1/13/18,54.11111111,31.55555556,1075786.242
1/14/18,60.33333333,30.55555556,1009357.428
1/15/18,68.22222222,39.11111111,991275.8106
1/16/18,46.22222222,24.88888889,1346157.063
1/17/18,37.33333333,21.22222222,1377085.393
1/18/18,44,26.88888889,1272107.864
1/19/18,56.44444444,37.11111111,1074530.685
1/20/18,70.88888889,48.11111111,842116.3886
1/21/18,72.11111111,54.22222222,777451.6444
1/22/18,67.625,42.66666667,863452.6786
1/23/18,69,34.66666667,948995.2526
1/24/18,63.55555556,34.66666667,961460.8644
1/25/18,63.77777778,36.55555556,965017.7729
1/26/18,68.22222222,51.88888889,873665.7201
1/27/18,68.55555556,55.33333333,783830.4729
1/28/18,69.77777778,44.77777778,804473.7731
1/29/18,66.11111111,39.11111111,906964.1059
1/30/18,66.44444444,37.11111111,951321.519
1/31/18,73.22222222,42.22222222,882968.7711
2/1/18,74.55555556,50,841403.2972
2/2/18,61.11111111,44.88888889,905740.3416
2/3/18,63.77777778,46.66666667,880357.0278
2/4/18,75.44444444,45.77777778,808495.1402
2/5/18,61.33333333,44.44444444,957610.0618
2/6/18,62.22222222,49.22222222,977484.0537
2/7/18,59.22222222,38.33333333,1069414.354
2/8/18,59.55555556,35.88888889,1017723.829
2/9/18,67.11111111,49,878607.3599
2/10/18,66.33333333,46.11111111,896636.3237
2/11/18,53.11111111,34.44444444,1093802.879
2/12/18,49.55555556,34.11111111,1130477.649
2/13/18,53.66666667,42.33333333,1037679.956
2/14/18,75.77777778,50.11111111,899335.245
2/15/18,80.44444444,63.66666667,843336.848
2/16/18,76.66666667,58.44444444,845308.617
2/17/18,73.33333333,54.33333333,829042.0882
2/18/18,77.55555556,55.33333333,823468.4775
2/19/18,81.33333333,66.33333333,860864.3914
2/20/18,77.22222222,60.44444444,877722.5436
2/21/18,65.33333333,46.66666667,1026103.467
2/22/18,56.88888889,43.22222222,1044573.613
2/23/18,69.22222222,50,950885.8043
2/24/18,77.77777778,59.11111111,857064.5425
2/25/18,73,52.11111111,808981.7797
2/26/18,73.88888889,50.33333333,842840.6063
2/27/18,78.77777778,58.88888889,865295.9475
2/28/18,81,66.22222222,880910.0073
3/1/18,74.88888889,55.66666667,850512.3989
3/2/18,75.55555556,50.77777778,841182.767
3/3/18,75.88888889,54.66666667,790057.6671
3/4/18,80.55555556,64.66666667,799201.8305
3/5/18,81,60.11111111,865975.5159
3/6/18,72.55555556,48.55555556,830996.138
3/7/18,67.66666667,46.22222222,849322.7239
3/8/18,70.77777778,47.55555556,852103.716
3/9/18,75,53.44444444,826822.2382
3/10/18,86.55555556,62.55555556,841155.9905
3/11/18,77.44444444,57.11111111,761614.063
3/12/18,66.11111111,48.33333333,822841.0784
3/13/18,69.55555556,45.88888889,830279.1638
3/14/18,71.88888889,45.77777778,840066.2322
3/15/18,76.33333333,53.11111111,833491.8986
3/16/18,85.22222222,60.66666667,872442.2942
3/17/18,85.33333333,62.33333333,843901.7762
3/18/18,84.33333333,65.66666667,850612.8573
3/19/18,83.22222222,59.33333333,881059.2587
3/20/18,74,49.66666667,826949.5498
3/21/18,77.55555556,46.11111111,836574.4287
3/22/18,81.33333333,53,844996.2604
3/23/18,82.44444444,61.44444444,858694.5775
3/24/18,85.11111111,66.11111111,868543.1345
3/25/18,83.66666667,66.44444444,859492.7506
3/26/18,86,68.33333333,943243.941
3/27/18,80.33333333,63.44444444,905299.2706
3/28/18,74.11111111,63,855072.216
3/29/18,79.22222222,57.33333333,851387.0692
3/30/18,77.22222222,55.55555556,813146.1013
3/31/18,82.22222222,58,812598.1666
4/1/18,82.66666667,59.22222222,807290.9217
4/2/18,82.55555556,60.88888889,914616.2404
4/3/18,84.44444444,62.22222222,920543.2376
4/4/18,72.22222222,51.77777778,821448.6511
4/5/18,79.22222222,55.33333333,845274.4975
