STATION,NAME,DATE,TAVG,TMAX,TMIN,,STATION,NAME,DATE,TAVG,TMAX,TMIN,,STATION,NAME,DATE,TAVG,TMAX,TMIN,,STATION,NAME,DATE,TAVG,TMAX,TMIN,,STATION,NAME,DATE,TAVG,TMAX,TMIN,,STATION,NAME,DATE,TAVG,TMAX,TMIN,,STATION,NAME,DATE,TAVG,TMAX,TMIN,,STATION,NAME,DATE,TAVG,TMAX,TMIN,,STATION,NAME,DATE,TAVG,TMAX,TMIN,,,DATE,TMAX_AV_ALL,TMIN_AV_ALL
USW00012919,"BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US",1/1/18,45,50,37,,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/1/18,37,40,31,,USW00012907,"LAREDO INTERNATIONAL AIRPORT, TX US",1/1/18,,40,30,,USW00023023,"MIDLAND INTERNATIONAL AIRPORT, TX US",1/1/18,18,24,11,,USW00013959,"WACO REGIONAL AIRPORT, TX US",1/1/18,25,31,19,,USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/1/18,28,32,24,,USW00012923,"GALVESTON SCHOLES FIELD, TX US",1/1/18,39,43,34,,USW00003971,"DALLAS REDBIRD AIRPORT, TX US",1/1/18,,30,16,,USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",1/1/18,,34,28,,,1/1/18,36,25.55555556
USW00012919,"BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US",1/2/18,37,40,34,,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/2/18,31,34,29,,USW00012907,"LAREDO INTERNATIONAL AIRPORT, TX US",1/2/18,,37,29,,USW00023023,"MIDLAND INTERNATIONAL AIRPORT, TX US",1/2/18,20,31,15,,USW00013959,"WACO REGIONAL AIRPORT, TX US",1/2/18,26,29,19,,USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/2/18,29,32,23,,USW00012923,"GALVESTON SCHOLES FIELD, TX US",1/2/18,33,37,30,,USW00003971,"DALLAS REDBIRD AIRPORT, TX US",1/2/18,,27,22,,USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",1/2/18,,37,31,,,1/2/18,33.77777778,25.77777778
USW00012919,"BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US",1/3/18,40,53,33,,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/3/18,33,46,25,,USW00012907,"LAREDO INTERNATIONAL AIRPORT, TX US",1/3/18,,56,28,,USW00023023,"MIDLAND INTERNATIONAL AIRPORT, TX US",1/3/18,31,56,15,,USW00013959,"WACO REGIONAL AIRPORT, TX US",1/3/18,29,54,14,,USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/3/18,31,56,15,,USW00012923,"GALVESTON SCHOLES FIELD, TX US",1/3/18,36,46,30,,USW00003971,"DALLAS REDBIRD AIRPORT, TX US",1/3/18,,49,19,,USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",1/3/18,,58,23,,,1/3/18,52.66666667,22.44444444
USW00012919,"BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US",1/4/18,45,66,31,,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/4/18,39,54,27,,USW00012907,"LAREDO INTERNATIONAL AIRPORT, TX US",1/4/18,,62,30,,USW00023023,"MIDLAND INTERNATIONAL AIRPORT, TX US",1/4/18,39,52,27,,USW00013959,"WACO REGIONAL AIRPORT, TX US",1/4/18,34,51,19,,USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/4/18,36,54,22,,USW00012923,"GALVESTON SCHOLES FIELD, TX US",1/4/18,42,50,35,,USW00003971,"DALLAS REDBIRD AIRPORT, TX US",1/4/18,,51,27,,USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",1/4/18,,60,28,,,1/4/18,55.55555556,27.33333333
USW00012919,"BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US",1/5/18,57,72,50,,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/5/18,47,55,41,,USW00012907,"LAREDO INTERNATIONAL AIRPORT, TX US",1/5/18,,67,42,,USW00023023,"MIDLAND INTERNATIONAL AIRPORT, TX US",1/5/18,42,64,23,,USW00013959,"WACO REGIONAL AIRPORT, TX US",1/5/18,45,63,29,,USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/5/18,49,61,35,,USW00012923,"GALVESTON SCHOLES FIELD, TX US",1/5/18,49,55,45,,USW00003971,"DALLAS REDBIRD AIRPORT, TX US",1/5/18,,62,34,,USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",1/5/18,,63,43,,,1/5/18,62.44444444,38
USW00012919,"BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US",1/6/18,63,76,53,,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/6/18,48,63,37,,USW00012907,"LAREDO INTERNATIONAL AIRPORT, TX US",1/6/18,,73,43,,USW00023023,"MIDLAND INTERNATIONAL AIRPORT, TX US",1/6/18,46,67,27,,USW00013959,"WACO REGIONAL AIRPORT, TX US",1/6/18,46,64,32,,USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/6/18,45,64,29,,USW00012923,"GALVESTON SCHOLES FIELD, TX US",1/6/18,52,62,44,,USW00003971,"DALLAS REDBIRD AIRPORT, TX US",1/6/18,,63,37,,USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",1/6/18,,67,39,,,1/6/18,66.55555556,37.88888889
USW00012919,"BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US",1/7/18,68,78,60,,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/7/18,56,70,48,,USW00012907,"LAREDO INTERNATIONAL AIRPORT, TX US",1/7/18,,74,58,,USW00023023,"MIDLAND INTERNATIONAL AIRPORT, TX US",1/7/18,54,72,38,,USW00013959,"WACO REGIONAL AIRPORT, TX US",1/7/18,56,65,50,,USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/7/18,59,70,53,,USW00012923,"GALVESTON SCHOLES FIELD, TX US",1/7/18,60,69,56,,USW00003971,"DALLAS REDBIRD AIRPORT, TX US",1/7/18,,62,50,,USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",1/7/18,,71,54,,,1/7/18,70.11111111,51.88888889
USW00012919,"BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US",1/8/18,68,78,49,,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/8/18,61,66,49,,USW00012907,"LAREDO INTERNATIONAL AIRPORT, TX US",1/8/18,,74,46,,USW00023023,"MIDLAND INTERNATIONAL AIRPORT, TX US",1/8/18,47,66,32,,USW00013959,"WACO REGIONAL AIRPORT, TX US",1/8/18,54,64,36,,USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/8/18,60,69,36,,USW00012923,"GALVESTON SCHOLES FIELD, TX US",1/8/18,63,68,52,,USW00003971,"DALLAS REDBIRD AIRPORT, TX US",1/8/18,,59,41,,USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",1/8/18,,74,48,,,1/8/18,68.66666667,43.22222222
USW00012919,"BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US",1/9/18,59,78,45,,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/9/18,51,56,44,,USW00012907,"LAREDO INTERNATIONAL AIRPORT, TX US",1/9/18,,75,40,,USW00023023,"MIDLAND INTERNATIONAL AIRPORT, TX US",1/9/18,54,77,38,,USW00013959,"WACO REGIONAL AIRPORT, TX US",1/9/18,45,65,30,,USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/9/18,48,70,31,,USW00012923,"GALVESTON SCHOLES FIELD, TX US",1/9/18,54,57,51,,USW00003971,"DALLAS REDBIRD AIRPORT, TX US",1/9/18,,50,36,,USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",1/9/18,,72,37,,,1/9/18,66.66666667,39.11111111
USW00012919,"BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US",1/10/18,61,80,47,,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1/10/18,56,63,52,,USW00012907,"LAREDO INTERNATIONAL AIRPORT, TX US",1/10/18,,80,48,,USW00023023,"MIDLAND INTERNATIONAL AIRPORT, TX US",1/10/18,59,78,43,,USW00013959,"WACO REGIONAL AIRPORT, TX US",1/10/18,51,67,46,,USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/10/18,53,72,40,,USW00012923,"GALVESTON SCHOLES FIELD, TX US",1/10/18,57,66,55,,USW00003971,"DALLAS REDBIRD AIRPORT, TX US",1/10/18,,59,45,,USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",1/10/18,,76,42,,,1/10/18,71.22222222,46.44444444
